"id","description","last_updated"
"2340865","Chocolate milk, made from dry mix with low fat milk (Nesquik)","2022-10-03"
"2340866","Chocolate milk, made from dry mix with fat free milk (Nesquik)","2022-10-03"
"2340867","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","2022-10-03"
"2340868","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","2022-10-03"
"2340869","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","2022-10-03"
"2340870","Chocolate milk, made from syrup, NS as to type of milk","2022-10-03"
"2340871","Chocolate milk, made from syrup with whole milk","2022-10-03"
"2340872","Chocolate milk, made from syrup with reduced fat milk","2022-10-03"
"2340873","Chocolate milk, made from syrup with low fat milk","2022-10-03"
"2340874","Chocolate milk, made from syrup with fat free milk","2022-10-03"
"2340875","Chocolate milk, made from syrup with non-dairy milk","2022-10-03"
"2340876","Chocolate milk, made from light syrup with whole milk","2022-10-03"
"2340877","Chocolate milk, made from light syrup with reduced fat milk","2022-10-03"
"2340878","Chocolate milk, made from light syrup with low fat milk","2022-10-03"
"2340879","Chocolate milk, made from light syrup with fat free milk","2022-10-03"
"2340880","Chocolate milk, made from sugar free syrup with whole milk","2022-10-03"
"2340881","Hot chocolate / Cocoa, made with dry mix and water","2022-10-03"
"2340882","Hot chocolate / Cocoa, made with dry mix and whole milk","2022-10-03"
"2340883","Hot chocolate / Cocoa, made with dry mix and reduced fat milk","2022-10-03"
"2340884","Hot chocolate / Cocoa, made with dry mix and low fat milk","2022-10-03"
"2340885","Hot chocolate / Cocoa, made with dry mix and fat free milk","2022-10-03"
"2340886","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","2022-10-03"
"2340887","Hot chocolate / Cocoa, made with no sugar added dry mix and water","2022-10-03"
"2340888","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","2022-10-03"
"2340889","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","2022-10-03"
"2340890","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","2022-10-03"
"2340891","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","2022-10-03"
"2340892","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","2022-10-03"
"2340893","Strawberry milk, NFS","2022-10-03"
"2340894","Strawberry milk, whole","2022-10-03"
"2340895","Strawberry milk, reduced fat","2022-10-03"
"2340896","Strawberry milk, low fat","2022-10-03"
